9999
1136	AC	21
2705	Android	10
1824	CBA	11
1524	CBD	8
547	CEO	29
1915	CJ	7
1187	CSOL	7
558	ChinaJoy	5
1853	DC	11
2556	DLC	5
445	DS	13
2952	DV	6
1470	EA	11
951	ETF	6
2649	FPS	7
2494	Facebook	13
2339	GB	8
365	GDP	5
356	Google	6
1146	II	9
2187	IMF	5
2006	IPO	7
2861	IT	7
447	IXUS	11
45	Kinect	6
2117	LG	11
2896	LX	5
1640	MP	9
797	MV	14
794	NBA	16
55	Online	10
1262	PC	18
2337	PK	11
2229	PS	12
505	PSP	12
2642	PTA	6
672	QDII	18
662	QQ	23
178	RIM	5
771	RPG	6
2824	Rain	5
2460	ST	8
2735	SX	5
208	Sa	8
2862	TCL	6
2661	TD	6
1036	Twitter	7
1855	VS	11
1676	WCG	9
294	Wii	6
295	Xbox	5
786	iPad	15
1606	iPhone	24
1971	ol	8
991	online	16
861	―	7
1397	一半	5
1839	一季度	12
421	一家	16
2128	一对	6
2346	一月	5
487	一览	15
480	丁俊晖	7
1419	万亿	9
969	万元	14
85	万科	24
746	万起	15
159	丈夫	29
2792	三国	12
313	三大	31
1308	三巨头	7
1607	三星	26
2354	三环	10
2855	三轮	6
1777	上午	5
30	上半年	21
1257	上周	10
1550	上学	6
949	上市公司	9
1527	上扬	12
693	上期	6
2593	上演	13
2523	上线	19
2516	上网	10
1129	上行	13
2236	上诉	5
1279	上调	14
2035	上阵	7
571	下午	7
684	下半年	23
2366	下挫	6
2083	下旬	5
927	下月	10
602	下滑	12
2527	下行	9
1106	下调	13
536	下跌	31
366	下降	18
1616	不到	6
2842	不宜	5
1669	不应	9
1862	不当	5
2279	不忘	5
1687	不愿	5
62	丑闻	8
2977	专	5
2587	专升本	5
2129	专户	5
2022	专科	7
1014	专访	15
574	世	8
2825	世界村	6
982	世界杯	25
1489	世纪	13
3010	世锦赛	6
2981	业	15
359	业主	14
1472	业务	27
801	业绩	34
7	东	13
2619	东亚	8
1953	东京	7
1322	东北	7
2611	东城	5
885	东方	19
2408	东芝	10
1133	东部	10
2063	丢	5
2659	两岸	5
777	两市	17
2020	严查	5
2796	丧生	6
813	个唱	11
328	个股	7
1715	中介	6
1073	中关村	6
772	中国女排	5
2936	中国联通	6
2480	中国队	5
2479	中场	9
2103	中央	5
873	中学	11
2762	中学生	5
2195	中小学	5
773	中心	17
2331	中招	6
523	中方	13
1281	中旬	8
354	中期	10
2530	中海	7
2382	中的	7
2430	中石油	6
2913	中秋	6
2407	中端	6
2181	中粮	10
1627	中美	10
755	中考	39
2137	中职	5
287	中超	6
1730	中邮	5
1774	中锋	9
1104	中间价	5
2298	丰	6
1873	丰台	10
2937	丰田	5
678	临时	6
718	临近	6
1285	丹麦	5
288	主	9
1948	主任	6
1340	主力	23
386	主动	9
2657	主场	11
1372	主导	5
1299	主帅	22
216	主席	18
2304	主持	6
2482	主持人	5
296	主机	5
2790	主权	5
2663	主流	10
1015	主演	8
2858	主角	5
1622	主题	15
1248	丽	5
712	举办	18
1710	之人	12
2420	之城	6
575	之旅	7
1619	之路	8
1097	之遥	5
166	乌克兰	7
2773	乌龙	5
2581	乐居	12
2055	乐观	10
2177	乔丹	6
1739	乘客	9
945	九州	6
1315	九成	7
1561	也门	7
2776	习近平	9
75	买入	24
1116	买房	16
2902	乱	6
2765	乾坤	5
744	争	14
1508	争夺	6
2927	争夺战	5
2130	争抢	8
1166	争议	20
380	事件	37
2836	事故	6
367	二季度	6
2213	二手房	9
459	二期	13
2690	二环	5
440	亏	6
441	亏损	17
387	云	16
1575	云南	9
2286	互动	7
1323	互联网	17
2325	五一	9
2207	五大	15
3007	五月	7
1420	井喷	6
1874	亚	5
2744	亚冠	5
1752	亚太	6
217	亚洲	20
2889	亚锦赛	5
345	交	14
239	交易	37
2778	交警	7
2458	交通	7
906	亦庄	21
1061	产业	10
753	产品	26
1092	产能	7
1201	产量	6
1370	享受	7
1326	京	13
289	京东	6
2315	京城	7
2882	京西	5
1448	亮点	7
29	亮相	41
2821	人员	13
3020	人士	5
1965	人才	9
1155	人数	13
267	人民币	20
2696	人气	18
134	人物	6
963	人生	9
2708	人称	6
2697	人质	5
337	今夏	7
950	今日	46
1497	今晚	6
175	介绍	9
663	仙	20
1724	仙剑	7
923	代	7
1771	代理	7
392	代表	13
514	代言	17
1030	令	16
1742	以色列	19
1886	仪式	5
249	价	27
2781	价位	5
754	价值	26
302	价格	47
1311	任命	7
2376	任天堂	10
2848	任志强	6
973	份	21
1807	份额	7
2771	企	8
88	企业	33
1264	伊	6
1447	伊拉克	19
892	伊朗	25
192	休	6
1639	众	9
1930	众将	6
1705	优先	6
1775	优势	11
8	优惠	43
2245	优秀	9
2317	优雅	7
943	会员	6
1227	会见	14
2486	会计	6
2334	会议	12
1539	会谈	6
964	传奇	17
1815	传媒	5
1591	传播	6
1592	传统	15
1485	传言	7
24	伦敦	13
2288	伪	5
1801	伪造	5
1169	估值	9
2170	似	5
888	位	23
205	低	45
1037	低价	18
1629	低调	11
1574	低迷	11
652	住	16
1722	住宅	13
1668	住房	7
428	体感	5
1962	体检	5
2496	体现	6
1526	体系	9
121	体育	11
2419	体验	16
2594	何鸿	5
277	作	14
2571	作弊	5
874	作文	16
2104	佳	13
448	佳能	46
1451	使命	8
2799	供应	5
778	依旧	9
2558	依然	11
2101	便宜	6
550	促销	23
89	俄	39
132	俄罗斯	42
1089	保	7
2468	保利	9
393	保安	9
1003	保级	5
2590	保证金	5
1381	保送生	6
2268	保障	5
867	信	16
1647	信号	8
1224	信心	19
161	信息	24
2095	信条	10
1107	信用	6
211	信用卡	14
2918	信诚	5
972	信贷	10
2365	俱乐部	7
250	倍	42
526	倒计时	7
1465	债	29
1588	债券	15
2501	债务	12
1191	值	8
2025	值得	6
1358	假	18
1859	偏	10
719	做好	7
501	做客	10
1354	停	6
1822	健康	9
2845	偶像	5
2962	偷	5
2742	催	5
449	像素	16
894	僵尸	7
1960	儿子	33
889	儿童	21
244	兄弟	8
450	光变	14
251	光学	10
46	光环	8
300	免费	20
1105	兑	6
1929	兔	5
1295	入	22
2024	入主	5
2815	入住	5
658	入围	5
2622	入学	7
2305	入学考试	5
1681	入市	15
2248	入选	8
1338	入门	9
639	入院	6
1290	全	26
533	全国	43
1509	全场	7
2340	全新	13
1479	全明星	5
634	全款	47
747	全球	42
1235	全线	14
2706	八大	5
129	公交车	7
3004	公会	5
1005	公务员	20
2370	公募	9
314	公告	17
2075	公园	6
2463	公安	6
1702	公安部	6
265	公寓	34
303	公开	22
1864	公开赛	10
183	公斤	11
1407	公测	14
1894	公益	7
2272	公积金	5
1161	公里	8
266	公馆	21
1935	六大	5
3029	共舞	5
2802	关	8
350	关口	7
404	关注	47
983	关系	16
928	关键	24
162	关闭	9
2988	兵	6
1562	具	7
2205	兼	6
629	内地	24
2411	内存	9
1677	内容	19
1275	内幕	10
2739	内测	13
1997	内线	6
2626	再创	8
69	再度	18
1517	再现	15
1364	再起	5
1954	冒充	7
282	写	16
2318	写真	21
1461	军	19
509	军方	8
1422	农产品	16
2256	冠	7
173	冠军	26
2081	冲击	10
2142	冲刺	8
1719	冲突	11
1268	冲高	10
613	决赛	17
952	净	5
1202	净利	12
688	净利润	13
2787	准	7
9	准现房	12
1856	凌晨	6
803	减	10
2561	减产	5
2107	减仓	6
442	减少	10
1258	减持	13
674	凤凰	8
3019	凶手	5
1875	出任	6
2489	出口	6
522	出台	11
2099	出售	18
2879	出国	5
1181	出局	7
290	出席	27
774	出征	7
34	出战	8
1298	出炉	26
2428	出租车	7
2169	出色	5
1466	出逃	5
2715	击毙	5
1827	刀	11
1691	分享	14
2814	分化	5
705	分手	11
620	分数线	12
2244	分析	23
179	分析师	10
2436	分歧	7
924	分红	24
184	分钟	10
402	刑	27
1528	列	8
933	列车	5
1780	刘德华	13
1897	刘翔	8
2605	刘谦	5
2698	刚果	5
971	创	41
2149	创业	10
2135	创业板	15
2481	创始人	5
2349	创意	10
