id,clientHead,clientId,clientName,companyId,fileName,fileSize,ifEncryption,ifExpression,imgHeight,imgWidth,msgContent,msgType,opTime,readFlag,sendType,serAgentId,serverLoginNum,serverName,times,upTime,width,wxMsgStatus,msgTag,channle,
46906,,oqJZ5xE94Z1Xqa9EfvJ3KaHkeKuI,Leon,1001,,,,,,,补缴,0,2021/11/1 0:32,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,10196
46907,,oqJZ5xE94Z1Xqa9EfvJ3KaHkeKuI,Leon,1001,,,,,,,请选择您想要咨询的问题：关于基本医疗保险缴费基数申报表（附件2）的填报?缴不上?如何缴?如果您咨询的问题不在上述问法中，请换一种问法，重新提问。,1,2021/11/1 0:32,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,
46908,,oqJZ5xE94Z1Xqa9EfvJ3KaHkeKuI,Leon,1001,,,,,,,封锁,0,2021/11/1 0:32,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,
46909,,oqJZ5xE94Z1Xqa9EfvJ3KaHkeKuI,Leon,1001,,,,,,,抱歉，小保现有知识库中查询不到此问题。请换一种问法重新提问。如果仍不能找到您提问内容的对应问题，您可以输入“转人工”与我们的客服工作人员进行在线交流,1,2021/11/1 0:32,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,
46910,,oqJZ5xMiwn379CovJW7FPqczxWlw,疯子,1001,,,,,,,查余额,0,2021/11/1 0:52,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,
46911,,oqJZ5xMiwn379CovJW7FPqczxWlw,疯子,1001,,,,,,,请选择您想要咨询的问题：职工停保后卡内余额如何处理?接续办理流程?缴多少?如果您咨询的问题不在上述问法中，请换一种问法，重新提问。,1,2021/11/1 0:52,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,
46912,,oqJZ5xMiwn379CovJW7FPqczxWlw,疯子,1001,,,,,,,医保卡余额,0,2021/11/1 1:10,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,
46913,,oqJZ5xMiwn379CovJW7FPqczxWlw,疯子,1001,,,,,,,请选择您想要咨询的问题：缴多少?月刷卡额度?职工停保后卡内余额如何处理?如果您咨询的问题不在上述问法中，请换一种问法，重新提问。,1,2021/11/1 1:10,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,
46914,,oqJZ5xMiwn379CovJW7FPqczxWlw,疯子,1001,,,,,,,1,0,2021/11/1 1:10,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,
46915,,oqJZ5xMiwn379CovJW7FPqczxWlw,疯子,1001,,,,,,,抱歉，小保现有知识库中查询不到此问题。请换一种问法重新提问。如果仍不能找到您提问内容的对应问题，您可以输入“转人工”与我们的客服工作人员进行在线交流,1,2021/11/1 1:10,0,0,0,yunxiaomi,小保客服,0,,,,0,微信公众号,
